"comments","target"
is this still good for me if I have to code c++ in visual studio for my university course? (2020) i want to be able to say that I am good at coding (nothing crazy advanced but not just basics),q
can i do game dev from learning this 1st?,q
Leaving the timestamp on where I left off: 3:25:44,o
Can anyone explain how the result is equal to baseNum at 2:43:00?,q
4H to  be ready for my final test tomorrow. DOABLE,o
Man you are an angel . Tnx for sharing .👍👍⚘🌷♥️,p
I don't know why you taught us functions after arrays though functions are less complex than arrays,q
Thanks a lot,p
Oh my gosh :D I did it!!! And now I am like how should I do my assignments like palindromes and making guessing game with 10 tries :D:D:D  Thank you so much!,p
Imagine his audio corrupted…,o
"I find C++ very similar to java, am I right ?",q
its wierd how learning  and programming C++ made me good in math,o
You're Amazing! Really!!,p
will the code blocks application and projects created in C++ on mac take up space in icloud storage,q
Thank you Mike!,p
Is there any GTK or GUI videos?,q
"When you're seeing people complain about how they learned more with this than in college
Me: Laughs in lonely highschooler who isn't going to have a girlfriend",o
This guy looks so much like Quadeca. Thank you for the TUT dude.,p
Is there a way to have a getline function for int variables too?,q
This is best programming teacher.,p
Thank you Mike ..,p
"""C++ is a great first language""

me: print(""Laughs in python"")

Edit: This is a joke, stop getting mad, I love C++",o
Just think if all he teaches you is worth 5 years of development,o
"Does anybody have the slightest idea of how to make the program wait after executing something, before executing another thing? And also how to clear all previous things?",q
35:43 realising his first number probably isn't going to be realistic,o
What is the next step after completed C++ .  It's data structures and algorithms ???? For competitive coding and CP,q
"me blasting through the entire tutorial and understanding everything in just 1 day cuz i bored
(i already know Java and how coding works)",o
Thanks a lot,p
Never knew the ending of a coding class could make me end up hungry.,o
By following your age tutorial thing I made a program which tells you your age when you write the year you were born in,o
"Who watched the whole video??




I did :)",o
just finished python and now onto C++ :),o
"Brother , You are too serious. Kindly smile often, its good for health. stay blessed. love form Pakistan",p
fantastic,p
this is  like going into construction and all these symbols are the tools in the shed.,o
1:56:10 reminder for myself,o
"21:06


Don't mind me, I'm just remembering where I am now.",o
"Hello, can someone tell me if I can program this course in Visual Studio? Thanks for replies!",q
Can't believe I actually watched all of this and did my homework :).,o
"the lost tv show reference made my day. 4,8,15,16,23,42",p
It is just very cool!,p
"People saying they came from python, I came from scratch XD",o
"Don't do us like that man 😂 I thought they'd be a closing speech or graduation at the end, you can't just finish like that. Throw us a part or something, or better still where do we go from here 😌",o
"this tutorial is great, thanks a bunch. i do have one question, which i am really curious about. when you in the tutorial write cout or endl; i however have to write std::cout or std::endl; why the difference? i dont mind it, but i dont understand how one doesnt have to write it, and another does??",q
"1:15:56


Subtle Lost reference.",o
"He is helping so much, tomorrow is my exam. I want to marry this guy. 😆😢❤❤",p
"Giraffe Academy: * works magic with computer and absolutely stuns me.

Also Giraffe Academy: So that was kinda cool.",p
"Am starting now 
But next year when i will  back
I will be a nother person
 ❤inchallah❤",o
I request you guys should show an tutorial to make a game engine I think,s
God bless this guy,p
"cout << ""thank you"" << endl;    --> C++
print(""thank you"")    ---> Python [my love]",o
"39:00
 Just a reminder for myself that I have watched till this duration .",o
"Man, you are a hero",p
very use full. thank brother.,p
You should really do comments at the start because a lot of people like to make notes as they learn.,s
this guy is genius,p
"Jim and Pam for instances? Looks like someone is a huge fan of ""the office""",o
is this the full course of C++ or I have to study more?,q
Play in X2 and you will learn it in 4 hours,s
Watching this video made me realize that I need grammarly.,o
if somebody makes fun of him for saying the wrong words just know man's has been recording for 4hours and talking about everything Witch is tiering,p
"its ""codeblocks-20.03mingw-setup.exe ""now",s
"I created a game after watching this video.  It's a drinking game, essentially every time this guy says essentially... you have to Drink!!! Whoever is still alive after the 4 hours of this video is the winner (also a 100% alcoholic)!  But seriously great tutorial and I appreciate the time and effort that was put into it",p
when your momentary freakout @2:36:00 is assuaged by him changing index to i and you go 'wait did i just learn c++ in 4 hrs..',o
"Watching this video lets me understand How Neo learned Martial arts in one program ""I Know C++""..... ""Show ME""",o
Thanks sir.. you explained it well. This is the best tutorial for a beginners like me.,p
Thank you Mike! This is really simple to understand and also your English is so clear for someone like me who has other first language! I'll keep studying but also hope you could do sequel someday!,p
thank you so much,p
"Many thanks for such a great work - it is a completed course, not just a tutor! Actually after the course I really can write in C++. Thanks again!",p
How we can make a chess engine by using it 🙏,q
when your game has a bug so you learn C++ to fix it LMAO,o
I love this. Everything is simple and easy to understand. You made c++ a very easy programming language much like c sharp,p
Thank you for this tutorial! I couldn't follow along too well just from watching this video so I had to search up some assignments for beginners to basically apply what I learned.,o
Thanks a lot,p
"More power to you! No ads, concepts are explained in a lucid way. I could revise all my c++ withing these 4 hours. Thank you very much! Best wishes!",p
"~>>""You are awesome>>""~",p
"So here is the question for 2.7 lakh, why does all do ""hello world""as the first programs?",q
Best explanation!! Very simplified! Thank you very much professor ❤️❤️,p
You are a great teacher Mike. Thank you for all the hard work. 💚,p
can anyone help my codeblocks keeps creating a grey box whenever i write string or int .... pls help,q
"Thank you for the wonderful and detailed explanation, It was very helpful",p
"1:04:50
1:12:54
1:36:36
2:03:00",o
"i love him but if he says ""eSsentially"" one more time",p
"Thank you very much for this video.
Could we get somehow a written list of the function you explained.
It would be useful as a cheat sheet music",s
my entire semester just in 4 hours 😭,o
"I love what you are doing boss, have learnt a whole lot from you , keep doing what you are doing",p
"i've been following this tutorial over a few days now, and i just want to thank you for it ^.^ its really helpful considering i've never touched coding before.",p
ليه مفيش ترجمه للعربي مع ان كلام الوصف بالعربي و عنوان الفيديو بالعربي,o
"String function 
1) length function 2) [ ] 3) find() 4) substr()( can be stored in string)
Math function use <cmath> 
Note- int + double = double
           Int + int = int
1) pow 2) sqrt 3) round 4) ceil 5)floor 6) fmax 7)fmin
If we want User to input as sentence then,
getline(cin , what we want user to type)",s
Thank you,p
"*me who was just trolling around on Youtube and didn't intend to learn anything

*me who now knows how to code 'hello world ' in C++",o
this has made my life more easier programming in simple terms explained perfectly,p
Ur simplifying everything in smart way ... thank u so much 🖤🌻,p
Thank you brother🥺🥺🥺🥺🥺🥺🥺,p
Thanks I completed the 4hour c++ programming guide -- it was fun!,p
Very cool I hope you're making bank on this video,p
"Bro anybody who watched"" lost"" got the ""4 8 15 16 23 42"" Easter Egg good one",o
"This tutorial was really helpful, thank you.",p
"Great Tutorial that helps you fast and clear. No ads by the way!
I Reccomend it if you are barely starting with proggraming in C++",s
Can I make an endless runner game using C++,q
"Hello Mike.
I just want to thank you. It is very nice you share your knowledge with us for free. If more people were just like you the world be much much better place for living.
Thank you.",p
Hi im kinda new into programming and I still don't know what if I do all that stuff and will help me with what? What if I do those stuff how is it helpful for me?,q
"13:14 ""using namescape"" am I the only one that noticed?",q
"Very clear examples,  helped me start to code in c ++ and there were no ads. Great vid👍",p
"turn on subtitles
0:49 
** I'm sorry, I cannot continue, this is killing my computer, We need another successor** 
haha xD",o
"I needed to review C++ because I haven’t used it in years. You’re a seriously exceptional person for this gem you’re giving for free. I’m already watched some of your videos and plan to watch the rest of them. If this guy benefited you in any way y’all should donate, it’s worth it!",p
This is incredible! Thank you so much!,p
"point of Correction if you want to change the name and the age you can use find by search in your text editor and replace it with the new name or age >>>








lol",o
"This guy rocks. 4 hours no ads, full of applicable tutorials unlike my university, and a closed captions! Truly rocks. Wish I could donate my money to you!",p
"Anime:
1:57:04",o
I have only liked 2 vids and this is one of them,p
"So I watched your entire tutorial, and I have to say you did a nice job, I did leave some various comments, but I do appreciate your work. You might ask why I watch if I already know a lot of this stuff, it's because there is always something new to learn, even if you're just looking back at the basics. 35 years of experience tells me this. Again Great Job, and Thank you!",p
"finally done!!!
nice tutorial , i finally understood classes and objects",p
Replay: 1:40,o
Very good video with clear explanation for Beginners. Thank you for freeCodeCamp and Mike Dane.,p
if one knows c already then only last 20 min is useful.,s
I'm watching this during a seventh grade English lesson,o
The best tutorial one could find!!!! You are awesome!,p
"Very well made, a lot of information in 4 hours, the only thing to point out was that it would be nice if you tell the viewer to ignore ""public"" and inform them that you will come back to it later. For a new beginner, any code that is not explained while being used is confusing... however, since that's the only thing I manage to pick on, it says something about how well this video was made. Keep up the good work!",p
谢谢！,o
I really needed to start C++. I am glad I found this video. I could cover it in less than 4 hours. But the content is awesome. Thanks. Keep burgeoning.,p
"Code: std::cout << ""Hello World"";

Output: Hello World

Me: THE BEGINNING OF THE ENDLESS JOURNEY....",o
"I like the intention of this Tutorial. But it's missing alot of basic stuff. It's also far from ""full course"". For people watching this. This is just the simple basics, not a full course.",s
You got a great teaching skill...this video was really helped me to Learn C++.. thank you so much..,p
PLEASE PUT PYTHON INTERMEDIATE COURSE PLEASEEEE,s
I've learned more at 1:00 than I learned in an entire semester in a C++ community college class.,p
This was amazing! 4 hours is all it took!,p
I have a less than Mac 11 so I am stuck at xcode ? Can someone help,q
"small correction at 2:05:17 dayName = ""Sunday "" not the double equal to(==) because you are assigning the value to a variable and not doing any comparison which (==) does.",s
"Ok time to set my sights on becoming a valve developer 

And I gave up",o
3:36:30 not me realizing that it's an office reference T_T,o
"I had good knowledge of c++, but haven't done any coding in it for 2 years. Would this be a good complete refresher?",q
great video..superb explanation..easy to learn.,p
It says codeblocks needs to be updated,o
"Thank you for this sir ... i am a VBA prg from 15y, and i never tried smth else ... but now my girl (14) starts at school c++  ... so i wanted to help her and learning together...this stuff are the real basic and ez to take ... so again... thanks",p
32:34 Bookmark,o
Should you learn c++ in 2019?? Comments pls,q
"I tried a few other intro to C++ videos before this one but nobody comes close to explaining things as well as this guy does. Well done Mike, you're a really great instructor.",p
thank you very much good sir. i learned alot and your way of explaining things is just perfect.,p
I already know everything here. What about some intermediate course?,q
You explained classes/objects well. Thank you,p
Why code with pointers?  What are they used for though.,q
who is here because u keep getting new Assignments about c++,q
"I like how he gives us several ways of doing a certain code, it allows us to better understand how C++ works. Guess there is a reason he has 2 million + subscribers",p
These are the kind of videos that you wouldn't want to be reading the comments bcuz you'll be distracted and have to play it over!😧,o
Thank you for your teaching. Truly. This will help me a lot in game dev school.,p
This is the most useful thing i ever learned. Thanks. This will help me unleash my creativity,p
hi when i put phrase and then like .find the code works but it wont come up with the autofill bar where it lets you not have to type it all out,q
I know python and c# but holy cow I thought this would be impossible to learn! he does a great job at teaching.,p
can we do c++ in Intellij IDEA text edito,q
49:00 this is just to remind me of where I am please ignore,o
"When i was making a guessing game, i made it such that a player (1) can give a number less than 7, and another player(2) would get three chances to guess. the code worked, but the only problem was that i didn't know how to hide the message showing the player(1)'s choice of a number that had to be guessed. How do you hide that message after pressing enter and moving on with the program?",q
"For all the people who read this right now, I can recommend putting your CodeBlocks onto another Desktop (you can create multiple Desktops with Windows + Tab). You can put the video in fullscreen mode and just switch your desktops with Control + Windows + Left/Right. It makes things much more easy than switching tabs",s
"cout<<""THANK YOU SO MUCH"";",p
best video ever thank you I have learn coding thanks to you please make more c++ video love your channel and stay safe,p
Tq  u lot but how u taking that programs after finishing one by one whr have to take programs plzz tell me,p
"this semester my professor is teaching c++ ,and he is a mess",o
"thank you so much, i cant express enough how helpful this is",p
"For those who thinks watching this 4 hours will make your basics about C++, you're wrong. Mike Dane is amazingly awsome to let you guys familiar with a programming language on a very very basic level. Practise a lot...",p
At 1:02:56 I cannot get the output prompt message after entering the age.,q
"This is a brief, clear overview of C++ programming. Good for beginners.",p
Can you please help me to write c++ source codes for different programs,q
"#include <iostream>
using namespace std;
void LeaveAPublicComment ( string comment)
{
 cout<<comment;
}; 
int main()
{ 
LeaveAPublicComment( ""    This Video is Awesome! <3   "");
return 0;
}",o
"Muito bom, VALEU. 
Thats was very cool,  thanks.",p
"I was forced to watch this and thru the tutorial 
i finally got to understand what C++ is!",p
Great video! is there a next one for c++ that's a continuation of this?,q
"I know most coding languages were similar, but I’m still surprised how easy this was to pick up after learning java",o
3:36:07 Is that an office reference? :p,q
"Doing using namespace in the global scope is a bad idea as it defeats the whole purpose of namespaces. It should only really be used when you’re in a small scope, such as a function, and when you’re using something from a namespace with a long namespace name, such as std::chrono.",s
whats the purpose of pointers? when would those be useful?,q
"what about deconstructor , polymorphism , file handling , exceptions etc ???",q
I had already done full python programming course and now C++ looks soooooooooo easy!!,o
"thank you so much, the course was well explained",p
Thanks alot,p
Very well done. Thank you!,p
"Here you can post your questions and get quick answers or search for existing questions on the website.
https://starofgeeks.com",s
"when you realize that C++ stands for C ""plus 1""...",o
"The Video is really great and helped me out really good. I actually know something now which not everybody know. The only bad thing I noticed is that the explanation for comments comes pretty late in the video. I was always copying what you did and saved the file so I can look something up if I need to, but then I saw the comment function at pretty much the end of the video. I would have wished to have the comment explanation sooner, but still great video",s
"I'm in my 2nd year of high school and I'm basically addicted to programming right now... Coding is taught in our school, but it's too few for me I WANT TO LEARN MORE",p
"Instructions unclear.

Created a wormhole.

I call it: My wormyboy.",s
This was really helpful. Thanks!,p
i hope visual studio (vs) working too,o
"17:45 ah yes, the principal telling government how to control children. 😂😂",s
Great tutorial. Is there also an intermediate and advanced course?,q
please suggest more sources to learn advanced c++,s
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",o
"This video basically covers my first semester,
Can't believe this course is free
Thank you, freeCodeCamp",p
"i like how you are not from: Yes Ok This Is ""int"" Figger How It Works Out Yourself",o
This is very helpful. Thank you :),p
"I learned python from this channel, but this video is hours of nothingness",s
"*Im sorry, I cannot continue, this is killing my computer, We need another successor*",s
Thank you so much for this video that really help to learn coding,p
very helpful! Thank you Mike(:,p
hi. Codeblocks no longer available for macos monterey. Do you have any ide options which similar to what you are teaching in this video?,q
Great all in one course!,p
How much of c++ (%) will I learn by just watching this lecture???,q
"35:15 
Don’t mind me just bookmarking",o
"Man you are so selfless and kind.
You could have made money with ads but your aim is to just develop the world thanks a lot",s
"I love the way mike dane teach.
He has teached python html c++ and sql for freecodecamp .
I respect him",s
1:16:06 bruh are they the numbers from lost,q
"watched and learnt in 3 gos 
very brief course: covered the basic things and basic oops, a good one in 4hrs",s
if you put 10000000 in the for loops of while loops it goes on for a ridiculously long time,s
"tutorial for beginners time: 4 hours.
my brain: oof das a lot -> have to watch it tho!",o
Awesome explanation..... Loved ❤ it,p
why is it when i press build and run it tells me the project hasn't been built yet,q
"thank for your c++ tutorial, it's great for newbie!",p
"I'm learning C++ after C# and this four-hour course is extremely useful, understandable and simple for me. Thanks dude.",p
Let's see how many Asians are enjoying this masterpiece 🥰,o
"I love your voice it is so kind and pleasing to listen to! 
And the tutorial is very good btw.
Good job.
I'm also happy that you used that YouTube function where you can see what the topic is right now.
Props.",p
1:38:43 -> Professor said non-binary rights!,s
"i watched 1 hour and half 

#include <iostream>
 
using namespace std;
 
int main()
{
 
cout << ""i think that im ready"" <<endl;
 
}",p
"2:42:24 Use ""result *= baseNum"" instead for better efficiency.",s
"Really awesome class for c++ with out boring as movie
Mike Jane is wonderfull program lecture in the world",p
Why do u put end1; when I put that it days it is an error?,q
I really wanted to study at home but I don't have any laptop or computer this video is such a big help❤️,p
Can I as a total noob in the field of coding would be able to succeed? I just dropped my current choice career which is to become doctor and now I feel like I am more interested in coding and stuff so just saying....,q
250 python users disliked this video,o
"learning this for unreal engine, can't wait to see what happens!",o
"Thanks for the course,  took me 5 sittings and 530 lines of code .
Can i post the 530 lines of code on Github ?",q
"2:43:02 saving my timestamp for tmrw, tired",o
At last i completed this tutorial and learnt 😇,p
"bro why, when i run the program at the basic exampel cant run?",q
I need to find the 1.4K who disliked it,o
Played the video at 2x and learnt C++ in 4 hours along with extra practise,s
"okay I got it, it was missing the quotation marks",s
"I will be honest. In college I learned phyton, html, css, syql, php, java, unix code and c++.

I didn't like coding UNTIL I met C++. C++ made coding easier for me, maybe there is a code that works for some and not for others.",s
"Hey Mike,  your courses are the best !
You have taught me c++ and python. 
Can you make a video on java?",q
Good Job,p
This is the best C++ Tutorial. Every Noob will transform into Legend by This C++ King Guy,p
"program : using namespace std;
me : NANI",o
Me after going from Python to C++ : WHAT IN THE LORDS NAME IS AN && ??,q
Man can't appreciate fcc enough.Thank you so much guys. you Rock!,p
"This dude just went over a whole college semester in 4 hours with no ads even though if he enabled ads, he could be making $$$. He dropped this 👑",p
My man 👊,o
"Excellent introduction. Now where can I find the next 4 hours? 😁 (i.e., what would people recommend watching after completing this introduction, fully understanding it and having practised a bit.)
 
This course was great but there is so much more to C++, including:
 
  Using Structs, Enums, Unions
  Poymorphism & Templates
  Actually using pointers and references
  Object life cycle
  Memory management; malloc(), calloc(), new, delete, ...
  Lambda expressions
  Std library, etc.
  Saving & retrieving data (reading and writing files; using databases)
  Writing an actual application
  Including basic GUI elements
  (And many more things.)
 
(Of course I don't expect these to be included within 4 hours – though an extra hour to cover some of these would have been great.) But... now where can I learn these without having to cover the first four hours again in a more in-depth course? Is there anything that would flow on nicely from this?",q
Day one 45:00,o
"""i am a male"" thanks for telling bro else we didn't know that xddddd jk bro good course keep up the good work <3",p
"i cant stop myself from thanking you sir 
thank you very much sir
your teaching is one of the best in internet i ever see!!!!!!!!!!",p
"DESCRIPTION 
⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",o
"Is C++ really a good first language? I have hard so many say its not a good first language. 
I'd say python is the best one to start with. Java the worst.",s
I had an online exam. I've been slacking on the course. Had 2 practical questions which I knew nothin about. I had enough time to watch enough of the course to learn how to do it and pass the exam lol,o
C++ is harder than Java,s
"1:15:50
 LOST REFERENCE jajaja i love it",s
Thank you so much for that course !!!,p
I keep forgetting my semicolons );,o
"Thank you, pretty neat work",p
"Could you please add whatever you used as ""num.length()"" in the description. This is so amazing and awesome course, thank you for everything.",s
"4hrs for him, 400hrs for me",o
"When you are good you are good, thank you for making me understand",s
"""For demonstration purposes""",o
"roses are red
violets are blue
programmers are the best
and so are you",p
I'm a python programmer and I am amazed how much alike the languages are,p
Awesome tutorials mate...all the other videos too =),p
Grazie dall'Italia👌,o
"Contents 
 (0:00:00) Introduction
 (0:01:38) Windows Installation
 (0:04:54) Mac Installation
 (0:08:44) Setup & Hello World
 (0:12:29) Drawing a Shape
 (0:19:55) Variables
 (0:31:43) Data Types
 (0:39:15) Working With Strings
 (0:49:00) Working With Numbers
 (0:59:41) Getting User Input
 (1:05:32) Building a Calculator
 (1:09:28) Building a Mad Libs
 (1:13:45) Arrays
 (1:20:03) Functions
 (1:29:47) Return Statement
 (1:35:22) If Statements
 (1:47:15) If Statements (con't)
 (1:55:58) Building a Better Calculator
 (2:02:20) Switch Statements
 (2:10:47) While Loops
 (2:18:53) Building a Guessing Game
 (2:29:18) For Loops
 (2:38:32) Exponent Function
 (2:45:21) 2d Arrays & Nested Loops
 (2:54:55) Comments
 (2:59:11) Pointers
 (3:13:26) Classes & Objects
 (3:25:40) Constructor Functions
 (3:34:41) Object Functions
 (3:41:43) Getters & Setters
 (3:54:04) Inheritance",o
""" Jim and Pam"" ... Someone who has watched the Office.",o
Now I can make my own Minecraft ripoff.,o
"in that part where you compare the different numbers, could you perhaps use that function elsewhere if i understand correctly?",q
Hey Mike can you do a tutorial on how to convert Pseudo Code to C ++,q
why isn't this being taught in like... 10th grade?,q
"You are the best... Thanks a million times... I clear understands you perfectly well, but one question I want to ask is, the instruction (return 0;) what is the function in C++.. Will the program run if I leave out that instruction",q
"thanks 
; )",p
so will I be able to graduate in software engineering after watching this 4 hour long video?!,q
Hello and thanks for the course. Can c++ programming be done in a Chromebook 2?,q
Ty for the no ads thing even though you lost alot of revenue,p
"At 2:18:06 why is it that the ""do while"" loop doesn't return a value of 7 to us? if the 6 is able to run through the block of code why would it not increment to 7? or is it that it prints out 6, then increments but before it can print out the newly incremented value it it runs through the condition which halts the code?",q
Thank you so much for the video!! You are a hero!,p
pls if u see this can i learn c++ even if its 3 years old is it ok. Any body who have seen this comment me,q
"Bro , you're the best. Awesome video <3",p
what happens if you uninstall an uninstaller,q
Watching about if statement makes me dreaming about programming an artificial intelligence.,o
the fact that this is free is incredible thanks,p
You’re a legend bro. Watching this video right before my final bc my professor is 🗑,p
1:13:16 the way he says I love Tom Hanks is so funny to me,s
Brilliant. Thank you.,p
1.08 :D i back to this next day,o
44:40 Biraffe Academy made me crack up,o
"For the part of building of guess game, why the condtion of guess count cannot put into the while condition? like while number not equal guessnum and guesscount not equal guess limit?",q
I literally learned in a semester of college what he said in two sections,o
54:53 thnx sir,p
"Hello I am from Ubisoft gaming, I just supervised this video, And even I learned so much out of it Thank you Girraffe Academy",s
thanks,p
ITS MIKE AGAIN. YOU JUST TAUGHT ME PYTHON MAN,o
this is just great thank you so much,p
"lol 1:15:50 ""lucky numbers"" are the numbers from the tv series lost",s
If more complex instructions makes the thing more complex than how hard would it be to make an online exam,q
Finally done...At first I used to think that C ++ is very tough..but there is nothing like difficulty in it… just a little problem came in understanding English 😛😛..   by the way  thanks a lot 🙏🙏,s
Everyone in these comments and that watched the video are the ones succeeding in life☝,s
Thanks man you are the best teacher .,p
"How did you guys learnt this, did you guys note down stuffs in a book or how? I'm starting from scratch.",q
"Anyone else thought he was gonna make an actual calculator, instead of just an expression to add two numbers? xD",q
"I have taken the course for C, C++, and now I am taking the one for C#. Honestly, I could not believe that one day, courses that were once impossible for me to learn. Now become tooooo silly, and not just that, I just finish them in only two weeks, back at collage when I took them in four months I did not even remember a single code. I mean comon like when I took these courses in my university my professor used to make fun of some students including me. The teacher that is supposed to be standing with us is the one who is being negative.
Really thanks a lot D.r/professor Mike, your courses save a lot, I mean like tons of time.",p
"One important thing to note for the example with the story:
The video is now 2 years old, so remember to make the characters two years older",s
"43:54 
bookmark",o
"I watched this with speed set to x2, so I just learned C++ in TWO hours",s
3:25:41,o
0:49 read the closed caption,s
that's the first time i saw pointers being deferenced and referenced back to back. cool!,s
"If you keep accidentally overwriting lines of code on accident, press the ""insert"" key on your keyboard while inside the software. that should fix your issue.
It was driving me insane.",s
"Italian guy here, I lol'ed at the ItalianChef class XD",o
"in your better calculator,  is there a way to convert the operator to its a real value instead of a char. That way I can type cout << num1 + num2; ?",q
"Which version is this c++ is this 10 or 14 ,17",q
I’m learning this so I can make a game to flex on my friends,o
What else do i have to learn to be able to make a program in windows or android? I got laid off from covid recently and I really want to pivot to programming!,q
"me after learning python, is learning c++, and I always forget to put a semi colon",o
Thank you ... Its my first lecture,p
"@1:54:02 , in the second if statement couldn’t he have just used num2>=num3 alone ? I think it’s sufficient condition",q
Is this use for after getting job ??,q
I really have questions guys. Where do I learn some advanced C++ after watching this tutorial? Please provide information and reference.,q
I installed the codeblocks app but i wasn't able to download the compiler on my windows,q
39:17 this is to remind me of where im at :),o
Thank you absolute legend,p
Just a n00b Q: in Python many people seem to rave about Sublime as a text editor while I haven't heard that mentioned elsewhere (i.e other languages). Is there a reason for that or is it just a trend? Would I be fine using Sublime for my C/C++?,q
What if you cant install the gcc-v?,q
"After completing this video should I try practice questions or should i watch some other videos(if yes, do suggest which videos as well)",q
"I can't see my script running on MAC OS ""Terminal""...",q
"Me: IM DYING HELP
Docter: You have 4 hours, 1 second, and 19 seconds to live
Me: 😳",o
"Not a bad tutorial, but I wouldn't necessarily consider this a ""C++"". It just teaches you the basic concepts of programming (e.g. pointers, objects, if statements, for and while loops, etc...) which can be implemented in most languages. 

C++ is just a good tutorial language because it covers both the object oriented side as well as pointers.",s
"hi I am new to C++, I have a question for 40:38, why he output two strings without defining the data type before?",q
3:36:26   Jim and Pam lmao...... bruh's office fan,o
very good course...✌✌✌,p
i’m starting to call him “essentially” guy,p
Javascript please...,s
In the 2D array looping section is there not a built in function for length? Like in c# you can use getlength() for 2 D arrays and arr.length for 1 D arrays,q
you're hot AND can do my homeworks and projects! like damn hard to focus on the course lol,s
Is there a way you could make a video using coordinates in code blocks,q
can someone tell me why we put extern before forward declaration of a global variable and not before forward declaring function,q
3:44:14 How does he not laugh while saying that?,q
Damn! Thanks sir you taught me arrays,p
no offence but bro i like watched 3 hours and 10 mins but i feel like he gives the idea like 10x slower than it should take,s
its best to watch at speed 1.25,s
"hi, just wondering if there is a follow up video after this for those who want to learn more C++?",q
"Me who knows java watching the first 3 hours of the course be like....
I actually starting learning once he started talking about pointers.",o
Codeblock 16.01 not showing up. The alternative 20.01 doesn't exist anymore.,s
"Thanks Mike! , this Covid-19 made me learn more🤓🤓🤓🤓🤓
(Heheheh)",p
3:41:50,o
"Bro, I am so sorry for your friend George... I'm sure he will find a name and age he is happy with someday.

F",s
Thank you Mike!,p
"Guys Im on while loops, half way through the course and I feel great!",p
"2:22:30 i did it can any one check plz 



#include <iostream>
using namespace std;
 
int main()
{
int GuessNum = 25;
int Guess ;
 
do{
 
  cout << ""Enter A Guess :"";
  cin >> Guess;
} while (GuessNum != Guess);
 
cout << ""You win !"" ;
 
 
 
 
 
return 0;
}",q
Omfg love your brooo you are so kind 😊,p
"where do you go from here, from having finished this video i mean",q
The dude gave up on the subtitles a minute in.,o
Could someone please tell me where I can get some basic exercises to do to ensure that I have grasped the basics taught in this video,q
"49:10


Here is where I paused (First session). I'll be back after some rest.",o
Am learning this to use with unreal engine along with Blueprint. Want to code my own games.,o
everything went over my head at the last hour damn,o
How do i use C++ to make video game’s,q
Is this like an actual full course or is it just the basics?,q
3:35:05,o
"I stopped at 31:40
1:14:00

(Just a check for me when I come back lol)",o
I am totally beginner and want to know if someone really learned C++ with this awesome video? Thx,q
Is Visual Studio a good IDE for writing/compiling C++?  New to programming and I'm using it for some scripting languages at the moment.  Any tips?,q
Thanks,p
"I've been using Microsoft visual studio to practice in,  and every time I try to use getline it tells me that my value is undefined. Does anybody know what's wrong?",q
my head is gonna explode im literally using the default code of a program and it still doesnt work. it says hello world but theres no way to change the hellow orld,q
